site,domain,brand,cluster,node,rack position,rack unit
SNK,Management Domain,ZTE,Support Node 01,R5200G5(Arch2-2)RH Supporting Node for OCP,R1,02U
SNK,Management Domain,ZTE,Support Node 01,R5200G5(Arch2-2)RH Supporting Node for OCP,R2,02U
SNK,Management Domain,ZTE,SDN 01,R5200G5(Arch2-2) ZTE ZENIC(SDN-C),R1,03U
SNK,Management Domain,ZTE,SDN 01,R5200G5(Arch2-2) ZTE ZENIC(SDN-C),R2,03U
SNK,Management Domain,ZTE,SDN 01,R5200G5(Arch2-2) ZTE ZENIC(SDN-C),R3,03U
SNK,Management Domain,ZTE,SDN 01,R5200G5(Arch2-2) ZTE TECS Openstack(PIM & BM & OCP-SDN-Adapter),R1,01U
SNK,Management Domain,ZTE,SDN 01,R5200G5(Arch2-2) ZTE TECS Openstack(PIM & BM & OCP-SDN-Adapter),R2,01U
SNK,Management Domain,ZTE,SDN 01,R5200G5(Arch2-2) ZTE TECS Openstack(PIM & BM & OCP-SDN-Adapter),R3,01U
SNK,Management Domain,ZTE,BN EMS 01,R5200G5(Arch2-2) BN EMS Server,R3,02U
SNK,Management Domain,ZTE,Splunk HF 01,R5200G5(Arch2-2)Splunk forwarder,R2,05U
SNK,Management Domain,ZTE,Splunk HF 01,R5200G5(Arch2-2)Splunk forwarder,R2,06U
SNK,Management Domain,H3C,H3C UniServer 01,H3C UniServer R4900 G5_Tapping,R1,14U
SNK,Management Domain,H3C,H3C UniServer 01,H3C UniServer R4900 G5_Tapping,R2,14U
SNK,Management Domain,H3C,H3C TAP8000-CE54_Tapping 01,H3C TAP8000-CE54_Tapping,SW R3,22U
SNK,Management Domain,H3C,H3C TAP8000-CE54_Tapping 01,H3C TAP8000-CE54_Tapping,SW R4,22U
SNK,Management Domain,ZTE,Backup Storage 01,KS3200 V2 ZTE Backup Storage,R3,06U
SNK,Management Domain,ZTE,Backup Server 01,R5200G5(Arch2-1)Backup Server,R1,04U
SNK,Management Domain,ZTE,Backup Server 01,R5200G5(Arch2-1)Backup Server,R2,04U
SNK,Management Domain,ZTE,Backup Server 01,R5200G5(Arch2-1)Backup Server,R3,04U
SNK,Management Domain,ZTE,VAScanner 01,R5200G5(Arch2-2)VAScanner,R1,05U
SNK,Management Domain,ZTE,VAScanner 01,R5200G5(Arch2-2)VAScanner,R1,06U
SNK,Management Domain,ZTE,VAScanner 01,R5200G5(Arch2-2)VAScanner,R1,07U
SNK,Management Domain,ZTE,FW EMS 01,R5300G5(Arch3) FW EMS Server,R1,30U
SNK,Management Domain,ZTE,FW EMS 01,R5300G5(Arch3) FW EMS Server,R2,30U
SNK,Management Domain,Fortinet,FW 01,FG-2600F-DC,R1,23U
SNK,Management Domain,Fortinet,FW 01,FG-2600F-DC,R2,23U
SNK,Management Domain,Fortinet,FW 01,FG-1800F-DC,R1,25U
SNK,Management Domain,Fortinet,FW 01,FG-1800F-DC,R2,25U
SNK,Management Domain,Fortinet,FW 01,FAD-1200F-DC,R1,28U
SNK,Management Domain,Fortinet,FW 01,FAD-1200F-DC,R2,28U
SNK,Management Domain,H3C,Splitter 01,TRC-OEO-ODN-8M-MPO Splitter,SW R3,24U
SNK,Management Domain,ZTE,SW-MGT 01,ZXR10 5960X-56QU-HF (MAS),SW R3,20U
SNK,Management Domain,ZTE,SW-MGT 01,ZXR10 5960X-56QU-HF (MAS),SW R4,20U
SNK,Management Domain,ZTE,SW-MGT 01,ZXR10 5960X-56QU-HF (MNG&STOR Leaf SW),R1,17U
SNK,Management Domain,ZTE,SW-MGT 01,ZXR10 5960X-56QU-HF (MNG&STOR Leaf SW),R2,17U
SNK,Management Domain,ZTE,SW-MGT 01,ZXR10 5960X-56QU-HF (Service Leaf 25G SW),R1,19U
SNK,Management Domain,ZTE,SW-MGT 01,ZXR10 5960X-56QU-HF (Service Leaf 25G SW),R2,19U
SNK,Secure Domain,ZTE,OCP Cluster 01,R5200G5(Arch2-2)RH APP Master Node,R4,05U
SNK,Secure Domain,ZTE,OCP Cluster 01,R5200G5(Arch2-2)RH APP Master Node,R4,06U
SNK,Secure Domain,ZTE,OCP Cluster 01,R5200G5(Arch2-2)RH APP Master Node,R5,05U
SNK,Secure Domain,ZTE,OCP Cluster 01,R5200G5(Arch2-2)RH Infra Logging-Metrics-Router,R4,07U
SNK,Secure Domain,ZTE,OCP Cluster 01,R5200G5(Arch2-2)RH Infra Logging-Metrics-Router,R5,06U
SNK,Secure Domain,ZTE,OCP Cluster 01,R5200G5(Arch2-2)RH Infra Logging-Metrics-Router,R5,07U
